state_abbreviation,state,population
AK,Alaska,730000
AL,Alabama,4920000
AR,Arkansas,3030000
AZ,Arizona,7420000
CA,California,39030000
CO,Colorado,5810000
CT,Connecticut,3560000
DE,Delaware,1000000
FL,Florida,22240000
GA,Georgia,10910000
HI,Hawaii,1410000
IA,Iowa,3160000
ID,Idaho,1830000
IL,Illinois,12580000
IN,Indiana,6750000
KS,Kansas,2910000
KY,Kentucky,4480000
LA,Louisiana,4650000
MA,Massachusetts,6890000
MD,Maryland,6060000
ME,Maine,1350000
MI,Michigan,10030000
MN,Minnesota,5660000
MO,Missouri,6150000
MS,Mississippi,2970000
MT,Montana,1080000
NC,North Carolina,10690000
ND,North Dakota,770000
NE,Nebraska,1940000
NH,New Hampshire,1370000
NJ,New Jersey,9260000
NM,New Mexico,2110000
NV,Nevada,3140000
NY,New York,19670000
OH,Ohio,11750000
OK,Oklahoma,3980000
OR,Oregon,4240000
PA,Pennsylvania,12970000
RI,Rhode Island,1060000
SC,South Carolina,5220000
SD,South Dakota,900000
TN,Tennessee,6890000
TX,Texas,30030000
UT,Utah,3250000
VA,Virginia,8680000
VT,Vermont,640000
WA,Washington,7790000
WI,Wisconsin,5830000
WV,West Virginia,1780000
WY,Wyoming,580000
